id,date,username,tweet,replies_count,retweets_count,likes_count,hashtags,fond_name,rating
1535264014682530048,2022-06-10,postnauka_ru,Этот материал — часть проекта «Мир особенного ребенка». Партнер проекта — благотворительный фонд «Абсолют-помощь».,0,0,0,[],"""Абсолют-помощь""",1
1386684692829721088,2021-04-26,asi_russia,Фонд «Абсолют-помощь» объявил грантовый #конкурс для #НКО    ,0,1,0,"['конкурс', 'нко']","""Абсолют-помощь""",1
1282275681242676992,2020-07-12,mgytaujd2j8amho,Фонд «Дорога к Дому» компании «Северсталь» получил грант Благотворительного фонда «Абсолют-Помощь» Проект благотворительного фонда «Дорога к дому» компании «Северсталь» одержал победу в конкурсе на получение средств Благотворительного фонда «Абсо..  ,0,0,0,[],"""Абсолют-помощь""",2
1261179391922576896,2020-05-15,civil_73,"Грантовый конкурс, который проводит Благотворительный Фонд «Абсолют-помощь» / Общественная палата:  ",0,0,0,[],"""Абсолют-помощь""",1
1255526737506643968,2020-04-29,disliferu,"Благотворительный фонд «Абсолют-Помощь» запустил грантовый конкурс для организаций, помогающих детям-инвалидам и их семьям. Общая сумма грантов составит 100 миллионов рублей. Заявки на участие в конкурсе принимаются до 31 мая.   ",0,0,1,[],"""Абсолют-помощь""",2
1123483958870774016,2019-05-01,kstnm0fsrsnixwt,"Лучшие благотворительные фонды по версии журнала Forbes /  / 9. Фонд «Абсолют-помощь» /  / Год основания: 2002 / Донор: Александр Светаков и партнеры / Бюджет: 307 млн руб. / Итоговый балл: 59,12 /  / За 17 лет работы фонд «Абсолют-Помощь» превр..  ",0,0,0,[],"""Абсолют-помощь""",2
1114766259202264960,2019-04-07,fox_nasty,"Конкурс социальных проектов ""Повышение компетенций""  / Фонд «Абсолют-помощь» объявил открытый конкурс социальных проектов, направленный на развитие системной помощи особенным детям.Фонд готов поддержать проекты, которые будут направлены на раз..  ",0,0,0,[],"""Абсолют-помощь""",2
1106137680310611968,2019-03-14,nko37ru,"⚡ Открыт прием заявок на конкурс социальных проектов «Повышение компетенций»  /   / Фонд «Абсолют-помощь» объявил открытый конкурс социальных проектов, направленный на развитие системной помощи особенным детям.  /   / Фонд готов поддержать прое..  ",0,0,0,[],"""Абсолют-помощь""",2
1018754362217287936,2018-07-16,vsekonkursy,"Конкурс социальных проектов для особенных детей /  / Организатор: Благотворительный фонд «Абсолют-Помощь». /  / К участию приглашаются представители некоммерческих организаций и государственных учреждений, зарегистрированных на территории РФ. /  / ..  ",0,0,0,[],"""Абсолют-помощь""",2
1017101471517725056,2018-07-11,chehovchanka,#Фонд «#Абсолют-Помощь» объявляет #конкурс проектов по развитию системной помощи особенным детям  ,0,0,0,"['фонд', 'абсолют', 'конкурс']","""Абсолют-помощь""",2
1009891370889305984,2018-06-21,mariaschildren,"Есть в Серпуховском районе школа-интернат, которую поддерживает и опекает фонд «Абсолют-помощь». Вчера наши художницы Настя и Нюся побывали там в гостях. Вместе с местными детьми они расписывали забор. За один...  ",0,0,0,[],"""Абсолют-помощь""",2
673525974953099264,2015-12-06,a_gezalov,Саша закончил школу-интернат...фонд АБСОЛЮТ ПОМОЩЬ И Елена Любовина организовали парню в ЦДХ персональную...  ,0,0,0,[],"""Абсолют-помощь""",2
619685887891361792,2015-07-11,funpromoru,"Абсолют-Помощь, благотворительный фонд #фанпромо  ",0,0,0,['фанпромо'],"""Абсолют-помощь""",1
308439373597265920,2013-03-04,allalazareva,Благотворительный фонд «Абсолют-Помощь». Статьи о благотворительности  ,0,0,0,[],"""Абсолют-помощь""",1
301311714522198016,2013-02-12,allalazareva,Благотворительный фонд «Абсолют-Помощь». Статьи о благотворительности  ,0,0,0,[],"""Абсолют-помощь""",1
284528450138669088,2012-12-28,torshin_ru,"Только что у меня был Исполнит директор Благотворительного Фонда ""Абсолют-Помощь"" Георгий Валерьевич Крюков. Фонд помогает больным детям.",0,1,0,[],"""Абсолют-помощь""",2
282084111789723584,2012-12-21,anjelasnezhnaya,"Благотворительный фонд &lt;Абсолют-Помощь&gt; оплачивает дорогостоящие операции, собирает средства на лечение детей...  ",0,0,0,[],"""Абсолют-помощь""",2
229674454370902016,2012-07-29,alekstigra,Благотворительный фонд «Абсолют-Помощь»  ,0,0,0,[],"""Абсолют-помощь""",1
146947825333321696,2011-12-14,anjelasnezhnaya,Благотворительная акция «Подари Мечту» :: Абсолют-помощь. Благотворительный фонд.  ,0,0,0,[],"""Абсолют-помощь""",2
131260439500820496,2011-11-01,anjelasnezhnaya,"Детский интеграционный проект ""Я УМЕЮ!"" :: Абсолют-помощь. Благотворительный фонд.  ",0,0,0,[],"""Абсолют-помощь""",1
63944989050277888,2011-04-29,miloserdie_ru,Как выглядит корпоративная благотворительность?: Фонд «Абсолют-помощь»: сейчас правильно инвестировать в систему...  ,0,0,0,[],"""Абсолют-помощь""",1
1160053045805216000,2019-08-10,kvnewsru,"Лилия ПАТРУШЕВА, фонд «Агат»: «Профиль предпринимателя схож с профилем преступника» (полный текст)  ",0,0,0,[],"""Агат""",0
1126745452064301056,2019-05-10,kstnm0fsrsnixwt,"Лучшие благотворительные фонды по версии журнала Forbes /  / 18. Фонд «Агат» /  / Год основания: 2010 / Донор: Сергей Попов / Бюджет: 39 млн руб. / Итоговый балл: 47,02 /  / Фонд помогает молодым предпринимателям в Екатеринбурге, где родился Сер..  ",0,0,0,[],"""Агат""",2
1043430664442404992,2018-09-22,sashashakhov,"I just uploaded “Фонд ""Агат""” to #Vimeo:  ",0,0,0,['vimeo'],"""Агат""",1
793081392636817408,2016-10-31,spbchangellenge,"#Changellenge#CLFriends /  / Фонд ""АГАТ"" приглашает 3 ноября в 11:00 на ДЕНЬ ОТКРЫТЫХ ДВЕРЕЙ в Санкт-П..  ",0,0,0,[],"""Агат""",1
787383854789165056,2016-10-15,spbchangellenge,"#Changellenge#CLFriends /  / Наши партнеры Фонд ""Агат"" начинает старт публикаций live-видео о деятельно..  ",0,0,0,[],"""Агат""",1
784310894746476544,2016-10-07,kontragent_news,"Компания ФОНД ""АГАТ"" подвела итоги работы за 2014 год  ",0,0,0,[],"""Агат""",1
738012805908041728,2016-06-01,funpromoru,"АГАТ, фонд поддержки молодежного предпринимательства #фанпромо  ",0,0,0,['фанпромо'],"""Агат""",1
722727790471168000,2016-04-20,reputation_pl,На встрече в Фонд АГАТ: Необходимо правильно ставить цели присутствия в соц. сетях. Для каждой кампании оценка успеха своя. #репутация #smm,0,0,0,"['репутация', 'smm']","""Агат""",1
